index,bankroll
0,1000.0
1,1063.421654754481
2,1102.2821487228346
3,1131.0304903331944
4,1154.3871031366446
5,1181.2302108066294
6,1346.6335056453881
7,1396.9443808618412
8,1450.6812003776095
9,1637.8465262621762
10,1757.189019191752
11,1982.333203317085
12,1883.2165431512308
13,1924.424344500243
14,1955.9922881910086
15,2032.832095809836
16,2077.5947197609703
17,2371.4522591465784
18,2419.1046549375205
19,2654.4727494312833
20,2694.5996154240725
21,2951.8008858596604
22,3074.743541728371
23,3299.062576737419
24,3554.589964977883
25,3790.262352928695
26,3886.351442123123
27,3984.192999857599
28,4343.657015232627
29,4803.160856813945
30,5421.689235059453
31,5778.7948560507375
32,5899.710436891258
33,6132.667549423694
34,6551.404070630842
35,7561.361683530915
36,7881.075252181369
37,8629.391057786166
38,9661.931464577292
39,10510.565919191566
40,10797.060886707444
41,11508.308068233015
42,11910.678896766709
43,12156.338678354317
44,12582.794640193148
45,12833.977955459177
46,13507.621759505979
47,13007.621759505979
48,13968.948616394578
49,14620.322314034422
50,15500.593961458297
51,16148.63327060715
52,17576.607011685246
53,18822.024889679673
54,18322.024889679673
55,19700.022003870312
56,19876.29009913936
57,20795.46138777337
58,21432.82762085218
59,21752.126515027117
60,22247.092500934385
61,23697.362515426008
62,24455.54090081489
63,25111.10645302013
64,25503.56726272256
65,26164.059688446898
66,26437.579037281255
67,26664.697013836892
68,27093.2965486278
69,27744.113854468313
70,28061.001585976446
71,28326.621227410444
72,28754.746066106734
73,29205.46005469193
74,29480.094608195526
75,29709.632017929842
76,30103.400077252452
77,30734.464908705886
78,30234.464908705886
79,30625.81034543214
80,31028.616705291373
81,32093.315151477982
82,32352.68765024224
83,32635.852675075017
84,33399.41371896311
85,33838.8776252861
86,35016.400058423176
87,35274.76404446558
88,35938.664984573814
89,35438.664984573814
90,34938.664984573814
91,35556.8094688477
92,36411.48543062398
93,37412.97421353191
94,38340.317377286665
95,39172.694817044925
96,39894.816573628494
97,40055.654552326305
98,40412.34151006992
99,40780.923870747225
100,41790.2980289317
101,43061.67388160645
102,44170.00664783333
103,43670.00664783333
104,44924.950118954504
105,45690.76550659951
106,45895.12602141687
107,46341.05554989659
108,47756.85572042175
109,48179.73624601355
110,48543.69690160777
111,48043.69690160777
112,48281.71819339952
113,48676.82386848629
114,49078.662907615915
115,49331.698139870816
116,49579.016643440096
117,49079.016643440096
118,49362.7511597732
119,49646.887146177534
120,49891.91095452748
121,50159.476796578485
122,51246.07693338164
123,52667.56885907627
124,53690.411924456566
125,54336.55851905055
126,54745.441643911865
127,55414.20342887089
128,55641.72969551878
129,55959.362592814905
130,56313.20052374108
131,56640.90946401377
132,57975.54138142659
133,58802.80376141396
134,59667.822024985035
135,60218.92763974602
136,60612.78305710603
137,60832.05957649052
138,61575.86827042153
139,62399.97008887867
140,62818.10244993576
141,64028.627988611544
142,65305.96864803533
143,66140.13013819844
144,66394.87760010663
145,66707.2215580556
146,66919.46281341751
147,67302.57374380465
148,68154.0648618496
149,68451.2601924898
150,69246.1560888367
151,69663.31231663456
152,70659.44372719039
153,70159.44372719039
154,70759.69385930135
155,72233.14117268083
156,71733.14117268083
157,71233.14117268083
158,71644.51422577268
159,71909.12201846068
160,72124.92930804848
161,72564.67009666629
162,73629.37489339735
163,73794.00124801813
164,74228.12445776764
165,75294.76983909124
166,75655.03120216193
167,75916.61507700407
168,76119.98677176613
169,77202.60312305394
170,78552.54214188976
171,78737.78497799576
172,79713.1986561875
173,79922.54780026509
174,80752.74339490014
175,81396.61535762831
176,81597.90869340605
177,82582.95251786071
178,83726.852746135
179,85037.48123880447
180,85423.01456500664
181,85749.12979325131
182,86067.20778912921
183,86345.07190858756
184,86992.75874500725
185,87923.48086829438
186,89198.01786581645
187,89893.13675650167
188,90211.3588425243
189,90673.808751124
190,91511.21974869476
191,92311.06075570859
192,92707.73208506129
193,93510.56707505093
194,93690.5383159346
195,94014.91083436293
196,94690.70630877774
197,95126.55035708394
198,96297.5200375263
199,96514.44595034988
200,97978.04334639385
201,98392.56452877515
202,98663.20593608856
203,99142.4809674664
204,99775.5354007246
205,100029.98302994881
206,100403.26667428127
207,101386.31985934822
208,101591.57088021882
209,102387.50058579024
210,103356.9101968066
211,103624.53207660737
212,105058.54575379041
213,105502.27762479751
214,105718.16626371742
215,105928.69774977803
216,106918.40305298129
217,107229.83701612115
218,108408.73378107442
219,109958.13523436745
